Review_Number,Rating,Title,Content,Content_Length
16,10,Steven Spielberg meets Stephen King,"Stranger Things is the newest foray into Netflix's original programming, of which brings us their most impressive- and strange- production to date. When a young boy named Will Byers goes missing, his friends, mother and the town are thrust into a conspiracy involving a mysterious girl named Eleven and something even more sinister hiding in the woods of Hawkins, Indiana.

From the get-go, you can tell this is an homage to classic '80s Spielberg, drawing on E.T. and Close Encounters, as well as JJ Abrams' Super 8. But, as the show progresses, it becomes more and more like a twisted Stephen King story set in a Spielberg movie. It becomes a dark and twisted ride into an even darker and more disturbing world where the stakes feel higher than anything before it.

I can't go into great detail because spoiling even just a bit of the story takes away from the greater mystery, but I can say, it's one of the most thrilling and intense series to be on TV, without being on TV. If it were to continue, they have to pull the same punches they did with the first season, because they took a great many clichés, and somehow made them fresh and surprising, save for just a couple that they purposefully left cliché.",1212
17,9,"A spectacular mash of E.T, X-Files and 80's.","With its amazing 80s atmosphere and creepy X-files meets E.T feel this show is set to impress. Within its first 8 minutes of run time I could tell I had found something special here in Stranger Things.

Its intriguing story gives information at a great pace and I never felt myself getting confused of bored and there were enough twists or turns to keep me interested. This also had some rather great horror sequences and their use of lights flickering while yes a common trope fit so well in to the story I was on the edge of my seat every time the crackle of electricity shot through my speakers and the lights flickered.

The characters of the show are the true stars here, I loved every single one of them. They were all great with amazingly interesting flaws and the way they mix and clash with one another was fun to see unfold. They certainly help to carry this show although I would say that the government antagonists of the show felt a little flat and under developed and not nearly as memorable.

Production values are also quite good with some beautiful cinematography, editing, lighting and sound. My goodness I loved their music choices. I would say that the CGI does look a little obvious and from time to time I did notice some issues where the scenes didn't look quite up to scratch. I do think however I've been spoiled for visual quality since Game of Thrones so I would take that criticism with a grain of salt because it certainly didn't detract from the overall experience. The setting and style of everything in the locations where also great to see and felt real and interesting. The way everything was shot also captures every moment expertly and really helps to draw out those story moments with greater emotion.

Stranger Things is one of those special shows that I stumbled across and after the opening I knew I was hooked. Its exciting dark tale is expertly woven through its 8 episode run time and I know I will be back to re-watch this one. The ending is fairly well rapped up with a few loose story threads left hanging, with a promise for potential follow on seasons but the story is quite satisfyingly rapped up by the end. Memorable, exciting, dark and haunting Netflix knocks Stranger Things out of the park, 10/10.",2251
18,8,The Perfect Mash-Up of the Best 80's Sci-Fi!,"I've been trying to put my reaction to this series into cohesive sentences - even cohesive thoughts - and I just can't seem to do it. ""Stranger Things"" blended the best parts of some of the great 80's sci-fi films from ""E.T."" to ""Poltergeist"" to ""The Goonies"" to my all time favorite, ""Close Encounters of the Third Kind."" It was simply brilliant, and brings you back to a time when you were still able to feel a sense of wonder.

Though there are plenty of thrilling moments, this film does not rely on heavy CGI or jump-scares. It focuses on relationships between parents and children, best friends, and even a touch of romance. It takes you on a journey from a parent's worst nightmare to the resilience of those who rely on friends and cling to hope.

Also - you'll never look at Christmas lights the same way again.",820
19,N/A,Two very different seasons (EDIT: A few words about Season 3),"I guess plenty of people have said a lot of things about all the movie and TV references this series has and how it recreates the eighties in all their faults and splendor. I will not add to that.

With the release of the second season I'd simply like to advise that both seasons are very different animals. Think of it as the difference between the original Alien movie and the Aliens sequel: Whereas the first season was more about an unknown and unseen horror and the mystery behind the backstory, the second has more in-your-face action and horror laced with character development arcs which feel nice but sometimes sidetrack the series a bit.

Consequently, a fan of the show should probably watch the second season as a separate work of fiction rather than a true continuation of the first season in tone and spirit. The writers move the story forward and we get a very good piece of entertainment but the new season has to be judged on its own merits.

EDIT: Season 3 turned out to be a huge change in tone for the series. Maybe it's really hard keeping up the mystery if much of the ""world"" of Stranger Things already yielded many of its secrets but the overall ""feel"" of the series went into a different direction. Maybe the writers simply ran out of 80' templates to rip off. Season 1 was very much inspired by supernatural horror as in ""Poltergeist"". Season 2 took many cues from ""Creature Features"" like ""Gremlins"" or ""Aliens"". Season 3 now uses elements of 80' zombie flicks and low budget gore horror with a little bit of spy comedy mixed in (and fight scenes which feel straight out of ""Die Hard""). All those genres didn't really mix well in the 80' and this strange cocktail sure doesn't work today. That doesn't mean that Season 3 is bad. It simply relies on characters who were established in previous seasons which used very different 80' story elements and tropes. It's almost like seeing Darth Vader in an Indiana Jones movie. Both work on their own but not together.

Basically, Season 3 is an all too transparent attempt to plough a fresh nostalgia field but it doesn't work in the context of previous seasons.",2133
20,9,One of my favourites,"Awesome characters, great story, great balance between drama and action, love the humour in the series.... In my opinion it is a must watch.",140
21,10,Definitely a favorite.,"The monsters. The 80s nostalgia. The pacing. This show is so well done. It keeps a solid pace and it makes sure to keep everything correct to the time, even the food packages. Definitely recommend watching.",206
22,9,Again a very nice series from Netflix!,"Stranger Things is a 1980s inspired and themed science fiction horror Netflix show. The show is set in November 1983 and takes place in the fictional town of Hawkins. Hawkins residence live a fairly normal life until a boy named Will Byers goes missing in the woods. Three of Wills friends Mike Wheeler (played by Finn Wolfhard), Lucas Sinclair (played by Caleb McLaughin) and Dustin Henderson (played by Gaten Matarazzo) are very worried for him but what they uncover something more dark and sinister. After looking for their missing friend they come across a girl, who they call Eleven because of her tattoo. However they soon find out this isn't any ordinary girl but one with very special powers. It is very clear the show takes lot of inspiration from classics 80's films like The Goonies and ET.

The performances from all of the cast are great especially the child actors, who show the right amount of charisma and banter you expect from kids growing up in the 80's. However, the star of the show here is definitely Eleven (played by Millie Bobby Brown) who plays the ET type of role in show. Millie's brilliant acting skills have a lasting effect on the viewer even though she has 42 words throughout the whole series.

The Duffer Brothers brilliant writing and directing skills play with your emotions to create a love letter to all those 80's horror films. It's truly something special! 9/10",1401
23,7,"Great, good, bad","That's about it. The first season was brilliant, the second one was OK, the third one was barely watchable. If they continue like this in the forth season, it'll be massive disappointment.",188
24,4,Beware of Season 3,"The dark story is still there and it's enjoyable to watch but unfortunately I had to skip many parts in season 3. The majority of the scenes have this awful teen comedy theme with that typical annoying goofy background music that goes with the ""jokes"". They are all the same and doesn't lead the story anywhere. When you see it coming, just skip 5 minutes of the episode and you won't miss anything important.

I'm very disappointed in the direction this show has taken. 2/3 of this season is something you expect to see on a bad Nickelodeon show.",547
25,10,THE BEST,"!!!SMALL SPOILER FROM END OF EPISODE ONE!!!

This is my absolute favorite show. I give it a 10/10! I watched this show with my sister and I loved it so much! The way they just made the show makes you feel like you are a part of it. Like when will goes missing you wonder ""what is that!?"" or ""no willllll!"" you just feel like you are a part of the show! But a warning be careful because you will most likely get addicted! There are a bit of jump scares but there's also so many beautiful moments. The episodes are a bit long but it all pays off! Anyways, I totally recommend!",574
26,9,"Fun, clever and very entertaining.","Not much needs to be said, one of the best shows out there currently and should be watched by everyone at least once in their life. The characters are also probably the best in any movie or TV-show, as they are all VERY well acted and each have a unique, fun and interesting personality.",287
27,8,Oh dear.....what happened?,"I'll leave my score at 8/10 in homage to seasons 1 and 2. Season 3 left me with very mixed emotions, most of them negative. I wont go into the issues as many others here have listed them well. For me, just as you saw a glimmer of hope that the storyline was emerging from the wreck, it crashed again with spurious awkward out of place dialogue, irritating characters and messages. Stereotypical bad guys and most of the questions raised left unanswered. By the end I just felt sad and annoyed.",493
28,9,Great!,"Great show! Loved the action, and the 80s vibes too!",52
29,8,Season 4 is surprisingly good!,"Talk about a return to form. After the disappointing season 3, my expectations for season 4 were quite low but I have to say this is the best after the first one. It surpasses season 3 in every possible way: better story, better acting, less dull moments, and the revelation in episode 7 (which I won't give away) is excellent. I can't wait to watch the rest.",359
30,10,Exactly what you would want to watch.,"Simply the best and most addictive series out there. Amazing characters and character development, each season has a fantastic story whilst still building on previous series.

I personally love the 1980's theming.

Great actors, great writers, great directors. Can't wait for the finale of season 4, I expect if it's anything like the first 7 episodes, it will be something epic.",379
31,9,Season 4 close to Seaon 1,"Wow, season 4 was almost as good as season 1 in my opinion. It has the same dark/horror type script and sequences as the first and the fact that a lot of it took place in the other dimension really made it enjoyable. The season 4 finale is also one of the best season finale you'll ever see.",291
32,10,A truly must watch. Tv as it should be.,"This is a series that continues to go strength to strength. Truly expecting season four to be a little bit of a let down! I mean how can you continue to make tv of this calibre.

But the Duffer Brothers have produced an absolute gem. Full of nostalgia, a story line that continues to deliver and characters that are truly lovable.

If you haven't seen it; watch it.

Can't wait for season 4 part 2!",398
33,N/A,One of the best fiction series!,"""Stranger things"" is definitely one of the best TV series in its genre!

High-quality cast, a lot of nostalgic and not only references, atmospheric and beautifully furnished locations, and of course an interesting idea that we were able to implement in all respects. The characters change and can give a new impression of themselves in each season.

In the first season, they will only spin the intrigue and introduce the extermination characters. However, this is the most atmospheric and best season for me!

In the second season, there will already be more scale and thriller, which is logical. And it still looks great. The story does not stand still - and this is the main thing for the series The third season is the brightest and most glamorous among all four. There is a special atmosphere in it, different from the original one. And, perhaps, this is my least favorite season, but nevertheless it cannot be denied that it is addictive and interesting. Some people may like the innovations, while others may not. There's nothing can do about it And the last season 4, the darkest of all, which can be called the beginning of the finale. The season itself is a direct reference to the horrors of the 80s-90s. The most important events for the plot will take place. And in general, the season could have been the best in the show - however, it was prevented by a lot of unnecessary scenes that could have been dispensed with.

The final fifth season has not yet been released, but according to known information, we can expect it before 2025. Well, we hope that he will not disappoint, but only please.",1608
34,6,Stop it,"The first season was fantastic! The second season was a copy/paste without the magic. Unfortunately, the third season was just an empty mess. A complete waste of time.",167
35,3,Third season sucks,They should finish with season 2. Loved first two hated the third.,66
36,9,A rollercoaster of twists and turns,"I watched this web series 3 months ago. And I still remember the effect which it put in my mind. It has a very nice concept and story. Although it had some loopholes which were nothing as compared to the whole web series. First coming to its story it has many twists and turns and most of them were unpredictable. The pacing is slow in first 1-2 episodes of all the seasons. But then the pace increases and then keeps you hook until the end. Talking about the acting, all have acted very well especially Millie Bobby Brown, Finn Wolfhard and David Harbour. The technical aspects of the web series were also good. The web series is outstanding in its emotional aspects especially when all friends unite with each other or the bond between two characters . Moreover the intro theme of the web series is also great which gives you goosebumps. The climax of all three seasons were good. There were some scenes which were somewhat illogical or did not have any explanation. But when you watch the whole web series you will not care about these small things. Overal I can say this is a must watch web series especially if you love watching sci-fi and fantasy web series because it keeps you hooked until the end when the pacing increases.",1232
37,10,This Series is a true time machine: it will take you to the 80's. Believe me.,"ATTENTION TO ALL OF YOU WHO LIVED YOU'RE YOUTH IN YEARS 80, liked movies like Goonies, Portergeist, The Evil Dead, The Thing, Alien(s), Star Wars, ET, Clouse Encounters of the Third Degree, Indiana Jones, It - Stephen King, Lord of the Rings (ok, this is newer, but the books are older and the references are all there) and so many other fantastic and unbeatable classics of that magic decade. I have to say: Watch THIS, STRANGER THINGS! Oh really. Watch it. But watch accordingly: at night, turn off your mobile, whats-app, Facebook, Instagram, blah blah blah, watch as you should watch every movie, with immersion, transport yourself into the adventure, and I assure you, you will remember how it used to be, when going to the movies itself was already an adventure. You will be transported to the 80's. Cool characters, family dramas, pure and sincere friendships among nerd, intelligent, and excluded children, teenage's dramas, music and soundtrack of the 80s, in every detail, from the suspense in songs of each scene, the opening song and title of the series, the soundtrack, the references/homage to the 80's is very strong, very clear. I loved it. For me, it is among the 2 best series I've seen in the last 10 years, with only Game of Thrones at the same level. I cannot think of any other that has given me so much pleasure to watch, which has given me the desire to watch again, and again, and again. No, not even Breaking Bad, Marvel's Daredevil, The Walking Dead, The Expanse (unknown by many, but i liked), NCIS, etc. I'm looking here at the list of series that I follow (around 50), and none is equal to the entertainment provided by this. Congratulations to the Duffer brothers. The series is amazing. Worth every minute.",1738
38,10,Nostalgic,Not only did Ryder play the perfect role for this series. The plot and sequences played to a awesome playback to Generation X. Plus the soundtrack is great.,156
39,10,WHAT THE F...,Can we just acknowledge that that Season 4 finale had some of the best writing of any TV show ever!? The way they add missing information to give context to things that literally happened in Season 1 is insane!!! EPIC SHOW!!! Literally one of the best out there. An apsolute MUST SEE!! I can't wait for Part 2 to come out. Once it ends I'm immediately going to rewatch everything now that I understand everything! Apsolutely INSANE!!! Thanks Duffer bros! What a vibe!,467
40,10,What A Watch Must See!,"Stranger Things was an amazing surprise upon watching it I had no idea what kind of adventure was ahead of me. The best way to put this show is a love letter to the '80s classics that captivated a generation. 'Stranger Things' is set in 1983 Indiana, where a young boy vanishes into thin air. As friends, family and local police search for answers, they are drawn into an extraordinary mystery involving top-secret government experiments, terrifying supernatural forces and one very strange little girl.

I loved everything about this show, the cast were absolutely breathtaking, If I started to note on each one I liked we'd be here all day but some really did stand out to me like Joe Kreery as Steve Harrington, by far my favourite from start to nearly finish as we have one more round to go.

I highly recommend watching this, I absolutely loved it! Bring on season to 5!",875
41,8,Myriads of 80's pop culture done in an amazeballs way.,"I was not interested in seeing this but my daughter made me sit with her cos she wanted explanation about each n every thing associated with the 80s.

And to be honest, after completing the first 3 seasons, i can definitely vouch that fellas who were kids in the 80s will enjoy this.

Some amazing homages : Stand By Me, Firestarter, The Blob, Back To The Future, NeverEnding Story, The Thing, The Goonies, E. T., Ghostbusters, Close Encounters of the Third Kind, Gremlins, IT, Risky Business, Star Wars Episode V, The Evil Dead, Day of the Dead, Fast Times at Ridgemont High, The Woody Woodpecker Show, Halloween 2, They Live (alleyway fight), Invasion of the Body Snatchers, The Terminator, Scanners, Aliens, Karate Kid, Jaws, The Predator, Poltergeist, Indiana Jones, The Mist, Cujo, etc.

But the best homages were the arcade games n the vhs store.",852
42,9,"Nostalgia, horror and sci-fi in one great series","This series is set in '80s Hawkins, Indiana. As it opens twelve year old friends Will Byers, Mike Wheeler, Dustin Henderson and Lucas Sinclair are playing Dungeons and Dragons. Shortly afterwards Will vanishes; he has been taken to 'The Upside Down'; a dark parallel universe. Around the same time a mysterious girl, known as Eleven (shortened to El), turns up. It later becomes apparent that she has telekinetic powers and is being looked for by workers at a secretive facility. As the story progress's Will's friends befriend El and she helps them try to find him. His mother is convinced that he is trying to communicate with her.

I've only described the basic plot of season one; the second and third seasons follow on with new, but related stories with most of the same characters and some new ones.

I really enjoyed this series from the start of the first season to the end of the third. Perhaps it was because I was in my early teens in the early eighties I really enjoyed the nostalgia factor despite the fact that I was growing up in rural Oxfordshire not small town America... of course I was watching American films like ET and late '50s set 'Stand By Me'. The group of friends in this particularly reminded me of the boys in the latter of those films. The story provides some good scary moments and a great atmosphere with threats that are a combination of fantasy and sci-fi... creatures beautifully mirroring the Dungeon and Dragon monsters in the game the boys play. The characters are great; most obviously the boys, Eleven, Will's mother Joyce and Jim Hopper, the town's sheriff. The cast is really good; the youngsters are really great making their characters believable even during the most fantastical of scenes. Millie Bobby Brown particularly stands out as Eleven; a character that is both vulnerable and at times potentially dangerous. The adult cast is impressive too. The effects, an impressive mix of CGI and physical effects, impressively bring the more supernatural elements of the film to life. Overall I'd certainly recommend this series to fans of the genre... I can't wait for season four.",2123
43,6,"Season 1+2 fantastic, Season 3 WTF","It really hurts me to write this review but I really don't know what happened with season 3. To me, it looks like Netflix interfered too much and tried to turn a thrilling drama into a teen comedy.

Season 3 is a completely different show. The directing, the WRITING, the pacing, even the music composing is completely different. I had to take a 20 minute break after watching the first episode because I knew something wasn't right. All the suspense and thrill of Season 1/2 is completely gone. With season 3, there is no moments that make me interested in the slightest. 90% of the season is Mileven relation issues, Steve working as a sailor selling ice cream, Hopper trying to be funny, and other weird scenes that seem so out of place. The problem is that these characters weren't funny in the first two seasons, they were unique and charming in their own way. Now Netflix has turned this once exciting show into a comedy that is completely studio written without regards to the characters traits or anything. Hell, the jokes aren't even funny.

From a technical aspects, everything has went down hill as well. The camera work, editing, sound, and acting all don't know what's going on either. It's like they don't know if their doing a thriller drama or a terribly forced cringe comedy.

It really hurt me to watch this season. I didn't enjoy a minute of it. I'd like to talk to the Duffer bros because I know someone got to them because you can tell within 5 mins, this is not their style. That, or the Duffer bros are just trolling us as a way to boycott Netflix or somin. I have no idea but something is up, this is way worse than went GoT and HoC went downhill on their last season! N",1694
44,5,Stop at Season 2. Season 3 is a joke,"Season 1 = 9/10, season 2 = 7/10, season 3 = 2/10. Season 3 what a joke. No plot, no story, nothing new, cheesy, cliche, just plain annoying dialogues, illogical, cringey. CRINGEY! What a woeful, horrid season. Writers and producers should be ashamed.",251
45,10,A Must Watch,"Stranger things is a programme that provides scifi, horror, violence, romance and some comedy. This is an easy binge watch, I definitely recommend.",147
